Date,Time,File,Subj,Cond,Block,Trial,Order,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,Stim 3,Time 3,Stim 4,Time 4,Stim 5,Time 5,Stim 6,Time 6,Stim 7,Time 7,Stim 8,Time 8,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,2,37.01,252,MOUSE-L,"7_respond.bmp",833,True,210289,37,507,"252",0,"+ <1>",1265,"110",0,"horse.bmp",289,"245",0,"horse.wav",1204,"253",0,"7_respond.bmp",838,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,3,38.01,-1,-1,-1,-1,-1,214907,31,508,"252",0,"+ <1>",1077,"209",0,"telephone.bmp",203,"246",0,"telephone_foil.wav",1200,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,4,39.01,-1,-1,-1,-1,-1,217895,31,506,"252",0,"+ <1>",1205,"76",0,"elephant.bmp",265,"246",0,"elephant_foil.wav",1200,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,5,40.01,253,MOUSE-R,"7_respond.bmp",486,True,221071,36,507,"252",0,"+ <1>",883,"108",0,"harp.bmp",252,"246",0,"harp_foil.wav",1204,"253",0,"7_respond.bmp",487,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,6,41.01,252,MOUSE-L,"7_respond.bmp",542,True,224919,37,507,"252",0,"+ <1>",1204,"210",0,"television.bmp",307,"245",0,"television.wav",1204,"253",0,"7_respond.bmp",542,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,7,42.01,-1,-1,-1,-1,-1,229198,31,507,"252",0,"+ <1>",1204,"211",0,"tennisracket.bmp",277,"245",0,"tennisracket.wav",1200,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,8,43.01,253,MOUSE-R,"7_respond.bmp",516,True,232386,37,506,"252",0,"+ <1>",1489,"188",0,"skirt.bmp",277,"246",0,"skirt_foil.wav",1205,"253",0,"7_respond.bmp",517,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,9,44.01,-1,-1,-1,-1,-1,236895,32,507,"252",0,"+ <1>",1427,"214",0,"tie.bmp",234,"245",0,"tie.wav",1196,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,10,45.01,252,MOUSE-L,"7_respond.bmp",925,True,240259,38,507,"252",0,"+ <1>",1362,"23",0,"belt.bmp",258,"245",0,"belt.wav",1204,"253",0,"7_respond.bmp",930,
2023-03-15,16:47,C:\Users\N400 BCI\Desktop\N400_BCI_Direct_RT_2022\N400-BCI-DRTscript-v1.csv,004,1,-3,11,46.01,-1,-1,-1,-1,-1,245035,31,507,"252",0,"+ <1>",973,"13",0,"balloon.bmp",265,"245",0,"balloon.wav",1195,
